rank,model,mean_map50,mean_map50_95,mean_confusion_b2_b3,mean_b4_recall
1,yolo11m.pt,0.5298152306606998,0.25703850866250166,,0.36732851985559567
2,yolov9c.pt,0.5292204305219652,0.2518493832873506,,0.351985559566787
3,yolov8s.pt,0.5256035274124806,0.2521148122056401,,0.41064981949458484
