run_name,model,seed,class_idx,class_name,precision,recall,map50,map50_95
p1bfc_yolov8s_640_s2_e30p10m30,yolov8s.pt,2,3,B4,0.4502506865287935,0.3844765342960289,0.3489366050858512,0.13750416347295794
p1bfc_yolov8m_640_s1_e30p10m30,yolov8m.pt,1,0,B1,0.6586778635420409,0.8006644518272426,0.8104685013506326,0.42639203010754845
p1bfc_yolov8m_640_s1_e30p10m30,yolov8m.pt,1,1,B2,0.4565032546875994,0.43300653594771243,0.38821870226637084,0.1955907609008168
p1bfc_yolov8m_640_s1_e30p10m30,yolov8m.pt,1,2,B3,0.5208602484890829,0.6603487490523123,0.5556449362813216,0.25369972685745357
p1bfc_yolov8m_640_s1_e30p10m30,yolov8m.pt,1,3,B4,0.3830659188078483,0.4303848052682859,0.3571653124115805,0.13553735202148257
p1bfc_yolov8m_640_s2_e30p10m30,yolov8m.pt,2,0,B1,0.6827843666302074,0.8372093023255814,0.8013785085827002,0.4321639477057361
p1bfc_yolov8m_640_s2_e30p10m30,yolov8m.pt,2,1,B2,0.40422577355402634,0.5294117647058824,0.3917199321143779,0.1950769318799938
p1bfc_yolov8m_640_s2_e30p10m30,yolov8m.pt,2,2,B3,0.5075914662047337,0.6739954510993177,0.5524618385122271,0.25276418690987934
p1bfc_yolov8m_640_s2_e30p10m30,yolov8m.pt,2,3,B4,0.41977321252160177,0.3460621163667436,0.3461893894849912,0.13311419676756522
p1bfc_yolov9c_640_s1_e30p10m30,yolov9c.pt,1,0,B1,0.6791597596340065,0.8106312292358804,0.8137150300466723,0.42369707089305714
p1bfc_yolov9c_640_s1_e30p10m30,yolov9c.pt,1,1,B2,0.4520451370100443,0.4624183006535948,0.3934001417004654,0.19394915365478868
p1bfc_yolov9c_640_s1_e30p10m30,yolov9c.pt,1,2,B3,0.4802529085047638,0.7271609005270959,0.562289252056338,0.2551373968920921
p1bfc_yolov9c_640_s1_e30p10m30,yolov9c.pt,1,3,B4,0.406951047655213,0.3700361010830325,0.34517957906497704,0.13782173362351252
p1bfc_yolov9c_640_s2_e30p10m30,yolov9c.pt,2,0,B1,0.6041756672529719,0.8637873754152824,0.8041576004750574,0.4141087501058841
p1bfc_yolov9c_640_s2_e30p10m30,yolov9c.pt,2,1,B2,0.43545458921343594,0.43137254901960786,0.38811773299821717,0.19802515991765646
