run_name,model,imgsz,seed,map50,map50_95,precision,recall
p0_yolo11n_640_s1_e30p10m30,yolo11n.pt,640,1,0.5236897437924801,0.2537517154572943,0.4906236545855527,0.5863911479376607
p0_yolo11n_640_s2_e30p10m30,yolo11n.pt,640,2,0.5245261202162477,0.2513885242661774,0.4922606144901419,0.5838487933494265
