run_name,fraction,imgsz,seed,epochs,batch,map50,map50_95,precision,recall
p0_lc25_yolo11n_640_s1_e30p10m30,0.25,640,1,30,16,0.44444437594829844,0.19843106822173423,0.4186901351022463,0.5757901027293948
p0_lc50_yolo11n_640_s1_e30p10m30,0.5,640,1,30,16,0.46367295584176527,0.22016169891057968,0.4410497641005817,0.5791438372261212
p0_lc75_yolo11n_640_s1_e30p10m30,0.75,640,1,30,16,0.5033026515457029,0.24443698392129393,0.4683487830829076,0.5905602589924842
p0_lc100_yolo11n_640_s1_e30p10m30,1.0,640,1,30,16,0.5236897437924801,0.2537517154572943,0.4906236545855527,0.5863911479376607
