run_name,imgsz,seed,epochs,batch,map50,map50_95,precision,recall
p0_yolo11n_640_s1_e30p10m30,640,1,30,16,0.5236897437924801,0.2537517154572943,0.4906236545855527,0.5863911479376607
p0_yolo11n_1024_s1_e30p10m30,1024,1,30,8,0.5362744550793069,0.2571237184722411,0.4887562175254552,0.6015943776590654
p0_yolo11n_640_s2_e30p10m30,640,2,30,16,0.5245261202162477,0.2513885242661774,0.4922606144901419,0.5838487933494265
p0_yolo11n_1024_s2_e30p10m30,1024,2,30,8,0.5276307167871953,0.2588684920893743,0.49519097604585494,0.6004327597975135
