class_id,class_name,count,median_width_px,median_height_px,median_area_norm,p10_width_px,p90_width_px,p10_height_px,p90_height_px,p10_area_norm,p90_area_norm
0,B1,2177,124.99967999999998,136.79232000000002,0.014005642176000001,80.18879999999999,199.128,90.62528,215.104,0.006153059348,0.0338942189
1,B2,4073,109.09056,120.66304000000001,0.010654878696,69.9408,178.17216000000002,76.68864,193.46432,0.004504434664,0.026867989698
2,B3,8295,105.31296,114.368,0.009645060677999999,59.25888,176.63039999999998,66.29632,189.1072,0.0034171609440000004,0.026089924475
3,B4,3442,93.6096,96.12032,0.007220774043500001,53.35776,147.63552,57.1584,151.10656,0.0026338519559999996,0.017125371684
