run_names,runs,mean_map50,std_map50,mean_map50_95,std_map50_95,mean_precision,mean_recall,mean_confusion_b2_b3,mean_confusion_b3_b4,mean_b4_recall,model,option,imbalance_strategy
"['p2s0a_none_yolo11m_640_s1_e30p10m30', 'p2s0a_none_yolo11m_640_s2_e30p10m30']",2,0.5298152306606998,0.0016378234312286466,0.25703850866250166,0.0005780304155673377,0.4922706785810218,0.597804656752096,,,0.36732851985559567,yolo11m.pt,none,none
"['p2s0a_class_weighted_yolo11m_640_s1_e30p10m30', 'p2s0a_class_weighted_yolo11m_640_s2_e30p10m30']",2,0.5298152306606998,0.0016378234312286466,0.25703850866250166,0.0005780304155673377,0.4922706785810218,0.597804656752096,,,0.36732851985559567,yolo11m.pt,class_weighted,class_weighted
"['p2s0a_focal15_yolo11m_640_s1_e30p10m30', 'p2s0a_focal15_yolo11m_640_s2_e30p10m30']",2,0.5298152306606998,0.0016378234312286466,0.25703850866250166,0.0005780304155673377,0.4922706785810218,0.597804656752096,,,0.36732851985559567,yolo11m.pt,focal15,focal
