run_names,runs,mean_map50,std_map50,mean_map50_95,std_map50_95,mean_precision,mean_recall,mean_confusion_b2_b3,mean_confusion_b3_b4,mean_b4_recall,model,option,lr0,source,status
"['p1bfc_yolo11m_640_s1_e30p10m30', 'p1bfc_yolo11m_640_s2_e30p10m30']",2,0.5298152306606998,0.0016378234312286466,0.25703850866250166,0.0005780304155673377,0.4922706785810218,0.597804656752096,,,0.36732851985559567,yolo11m.pt,lr001_phase1_reference,0.001,phase1b_baseline_reference,reused_reference
"['p2s1_lr0005_yolo11m_640_s1_e30p10m30', 'p2s1_lr0005_yolo11m_640_s2_e30p10m30']",2,0.5349757729275093,0.001671470155793997,0.2577031901907091,0.002873482636599034,0.500202222279515,0.6031137446654669,,,0.3637184115523466,yolo11m.pt,lr0005,0.0005,,
"['p2s1_lr002_yolo11m_640_s1_e30p10m30', 'p2s1_lr002_yolo11m_640_s2_e30p10m30']",2,0.5338071066446946,0.003721107032409854,0.25868591481529624,0.0036952419372471568,0.5127967273328109,0.5805358060865824,,,0.3337301287574398,yolo11m.pt,lr002,0.002,,
