run_names,runs,mean_map50,std_map50,mean_map50_95,std_map50_95,mean_precision,mean_recall,mean_confusion_b2_b3,mean_confusion_b3_b4,mean_b4_recall,model,option,aug_profile
"['p2s3_light_yolo11m_640_s1_e30p10m30', 'p2s3_light_yolo11m_640_s2_e30p10m30']",2,0.5255834345944517,0.0005613991221709025,0.2511978019992386,0.0015105877269265267,0.49664643592094815,0.5899647332177862,,,0.38267148014440433,yolo11m.pt,light,light
"['p2s3_medium_yolo11m_640_s1_e30p10m30', 'p2s3_medium_yolo11m_640_s2_e30p10m30']",2,0.5349757729275093,0.001671470155793997,0.2577031901907091,0.002873482636599034,0.500202222279515,0.6031137446654669,,,0.3637184115523466,yolo11m.pt,medium,medium
