split,conf,precision,recall,map50,map50_95,confusion_b2_b3,b4_recall,branch,candidate,checkpoint,run_name
val,0.1,0.5160895467885428,0.6002582748302572,0.5371943280267729,0.2659351854689833,,0.36892359902168176,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.2,0.5030079375530071,0.6181823087008967,0.5330817650692362,0.27197223091973033,,0.3989169675090253,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.3,0.5819324463080704,0.4932465120471495,0.5196396151744138,0.2740442000436657,,0.2184115523465704,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.4,0.6600172107200776,0.38166571737236515,0.5088282362764427,0.2789899336631675,,0.12454873646209386,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
val,0.5,0.7235603184499986,0.2811839287089006,0.49635887269180734,0.2799508075502854,,0.061371841155234655,one_stage,yolo11m,best,p3os_yolo11m_640_s42_e60fix
