branch,candidate,checkpoint,split,run_name,metric_schema,weight_path,optimized_conf,precision,recall,f1,map50,map50_95,top1_acc,top5_acc,accuracy,support_total,predicted_total,missed_gt_total,false_positive_total,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
two_stage_end_to_end,yolo11n_singlecls+yolo11ncls_gtcrop,last,test,p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30+p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30,detection_like_classification,,0.25,0.4839905628581058,0.5052779732582688,0.4944052332587365,,,,,0.5052779732582688,2842,2967,660,785,0.5043668988816983,0.49641143362049006,0.4900324035100915,0.47681526650444434,0.5052779732582688,0.48016377608014116
two_stage_end_to_end,yolo11n_singlecls+yolo11ncls_gtcrop,last,val,p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30+p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30,detection_like_classification,,0.25,0.4749912556838055,0.48743718592964824,0.4811337466784765,,,,,0.48743718592964824,2786,2859,668,741,0.4797050942129184,0.4920460291578326,0.477154846648535,0.45975830689428643,0.48743718592964824,0.4654678748544114
two_stage_gtcrop,yolo11n-cls,best,test,p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30,classification_gtcrop,/workspace/brand-new-yolo/runs/classify/runs/e0/p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30/weights/best.pt,,0.6449165873943363,0.6456720619282196,0.6254362017565036,,,0.6456720619282196,1.0,0.6456720619282196,2842,,,,0.6769461673359398,0.5973202024261014,0.618465472840469,0.6449165873943363,0.6456720619282196,0.6254362017565036
two_stage_gtcrop,yolo11n-cls,best,val,p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30,classification_gtcrop,/workspace/brand-new-yolo/runs/classify/runs/e0/p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30/weights/best.pt,,0.6392447225332538,0.6432160804020101,0.6222892979649067,,,0.6432160804020101,1.0,0.6432160804020101,2786,,,,0.6651086583382777,0.606621131820241,0.6182271743244362,0.6392447225332538,0.6432160804020101,0.6222892979649067
two_stage_gtcrop,yolo11n-cls,last,test,p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30,classification_gtcrop,/workspace/brand-new-yolo/runs/classify/runs/e0/p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30/weights/last.pt,,0.6431753976528881,0.6484869809992962,0.6337484925136235,,,0.6484869809992962,1.0,0.6484869809992962,2842,,,,0.6671248907994839,0.6243661766843991,0.6336761218492952,0.6431753976528881,0.6484869809992962,0.6337484925136235
two_stage_gtcrop,yolo11n-cls,last,val,p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30,classification_gtcrop,/workspace/brand-new-yolo/runs/classify/runs/e0/p3ts_stage2_cls_yolo11n-cls_224_s42_e30p10m30/weights/last.pt,,0.6258801085917097,0.633883704235463,0.6191295911237336,,,0.633883704235463,1.0,0.633883704235463,2786,,,,0.6425688045543162,0.6167923205210842,0.6187508302783655,0.6258801085917097,0.633883704235463,0.6191295911237336
two_stage_stage1,yolo11n,best,test,p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30,single_class_detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30/weights/best.pt,,0.805422415461472,0.7398957904142087,0.7712698296562085,0.8179902877185272,0.38539295665058837,,,,,,,,,,,,,
two_stage_stage1,yolo11n,best,val,p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30,single_class_detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30/weights/best.pt,,0.8151933531183662,0.74414882705101,0.7780526753620173,0.8263016077254525,0.38475666778694967,,,,,,,,,,,,,
two_stage_stage1,yolo11n,last,test,p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30,single_class_detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30/weights/last.pt,,0.80636281471588,0.7329345531315975,0.7678973297955791,0.8129706697765995,0.3860221529208273,,,,,,,,,,,,,
two_stage_stage1,yolo11n,last,val,p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30,single_class_detection,/workspace/brand-new-yolo/runs/detect/runs/e0/p3ts_stage1_singlecls_yolo11n_640_s42_e30p10m30/weights/last.pt,,0.8088763796771667,0.7276494522491271,0.7661159251341256,0.8157740777927364,0.3793428721567066,,,,,,,,,,,,,
