epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.5132,1.0622,0.5944,1,0.87837,0.000412371,0.000412371,0.000412371
2,46.9059,0.89887,0.59799,1,0.93892,0.00080168,0.00080168,0.00080168
3,77.0078,0.8873,0.48277,1,1.16779,0.00116349,0.00116349,0.00116349
4,106.986,0.86557,0.61522,1,0.84881,0.00112625,0.00112625,0.00112625
5,134.483,0.84321,0.6145,1,0.85245,0.001085,0.001085,0.001085
6,154.686,0.81932,0.59296,1,0.85738,0.00104375,0.00104375,0.00104375
7,173.929,0.814,0.60266,1,0.80842,0.0010025,0.0010025,0.0010025
8,196.788,0.80651,0.61307,1,0.82506,0.00096125,0.00096125,0.00096125
9,217.528,0.79713,0.62563,1,0.79004,0.00092,0.00092,0.00092
10,237.599,0.7897,0.61917,1,0.78795,0.00087875,0.00087875,0.00087875
11,258.905,0.78131,0.6267,1,0.78946,0.0008375,0.0008375,0.0008375
12,281.305,0.76906,0.6364,1,0.79235,0.00079625,0.00079625,0.00079625
13,307.786,0.76299,0.62455,1,0.79798,0.000755,0.000755,0.000755
14,328.529,0.74425,0.60589,1,0.82759,0.00071375,0.00071375,0.00071375
15,350.727,0.74426,0.62922,1,0.7943,0.0006725,0.0006725,0.0006725
16,380.519,0.73551,0.60014,1,0.86222,0.00063125,0.00063125,0.00063125
17,402.297,0.72656,0.63388,1,0.78915,0.00059,0.00059,0.00059
18,433.805,0.7167,0.62994,1,0.79803,0.00054875,0.00054875,0.00054875
19,463.15,0.71189,0.61701,1,0.81805,0.0005075,0.0005075,0.0005075
20,493.806,0.69383,0.62132,1,0.82502,0.00046625,0.00046625,0.00046625
21,524.106,0.67559,0.62778,1,0.81632,0.000425,0.000425,0.000425
22,554.706,0.66752,0.61235,1,0.84326,0.00038375,0.00038375,0.00038375
23,586.08,0.65518,0.63891,1,0.82031,0.0003425,0.0003425,0.0003425
24,613.589,0.63759,0.61809,1,0.83811,0.00030125,0.00030125,0.00030125
25,635.006,0.62028,0.61953,1,0.84122,0.00026,0.00026,0.00026
26,662.728,0.611,0.6285,1,0.84766,0.00021875,0.00021875,0.00021875
27,694.508,0.5843,0.61594,1,0.9102,0.0001775,0.0001775,0.0001775
28,726.327,0.57822,0.6267,1,0.86652,0.00013625,0.00013625,0.00013625
29,750.828,0.55692,0.62168,1,0.89564,9.5e-05,9.5e-05,9.5e-05
30,770.01,0.54006,0.61953,1,0.90869,5.375e-05,5.375e-05,5.375e-05
